,ID,Name,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value,L2FC,p-value
0,ENSG00000173200,PARP15,1.62,4e-04,-2.42,1e-03,-0.30,1e+00,0.10,1e+00,1.99,2e-02,-2.60,3e-03,0.30,1e+00,-3.01,4e-01,-2.27,5e-05
1,ENSG00000112137,PHACTR1,1.37,6e-03,-4.90,3e-10,0.55,8e-01,0.29,9e-01,0.98,3e-01,-2.68,9e-04,0.58,1e+00,-4.93,3e-01,-1.46,8e-03
2,ENSG00000163534,FCRL1,1.28,1e-02,-4.73,8e-10,0.35,1e+00,0.57,4e-01,1.83,3e-02,-4.18,5e-07,-0.12,1e+00,-4.92,3e-01,-1.84,5e-04
3,ENSG00000143297,FCRL5,1.28,1e-02,-5.00,3e-10,-0.26,1e+00,0.44,7e-01,2.24,4e-03,-4.40,3e-07,0.02,1e+00,-3.54,3e-01,-1.53,6e-03
4,ENSG00000127528,KLF2,1.24,2e-02,0.77,3e-01,1.25,3e-02,-0.77,3e-01,0.06,1e+00,-2.12,7e-03,0.06,1e+00,-5.28,3e-01,-3.08,8e-10
5,ENSG00000110172,CHORDC1,1.21,2e-02,-1.49,6e-02,-0.66,9e-01,0.29,9e-01,1.33,1e-01,-0.86,6e-01,-0.54,1e+00,-3.55,3e-01,-0.38,8e-01
6,ENSG00000132704,FCRL2,1.21,2e-02,-4.80,2e-10,-1.05,5e-01,1.01,2e-02,1.81,3e-02,-3.69,4e-06,-0.01,1e+00,-4.04,3e-01,-1.55,4e-03
7,ENSG00000138670,RASGEF1B,1.16,3e-02,-1.00,3e-01,0.14,1e+00,0.45,7e-01,0.73,4e-01,-1.55,9e-02,0.17,1e+00,-4.07,3e-01,-1.32,2e-02
8,ENSG00000138639,ARHGAP24,1.16,3e-02,-5.78,2e-12,0.09,1e+00,0.63,3e-01,1.35,1e-01,-3.64,5e-06,0.34,1e+00,-4.38,3e-01,-1.06,7e-02
9,ENSG00000123358,NR4A1,1.15,5e-02,-0.40,1e+00,1.50,2e-03,-0.85,2e-01,0.92,3e-01,-1.15,4e-01,-0.08,1e+00,-4.35,3e-01,-1.90,2e-04
10,ENSG00000178913,TAF7,1.13,4e-02,-0.64,7e-01,0.01,1e+00,0.25,1e+00,0.30,8e-01,-0.87,6e-01,0.10,1e+00,-3.73,3e-01,-0.84,2e-01
11,ENSG00000116191,RALGPS2,1.12,6e-02,-5.54,3e-13,0.19,1e+00,0.60,4e-01,1.65,5e-02,-3.55,3e-06,0.16,1e+00,-3.82,3e-01,-1.24,2e-02
